type_structure,nom,code_postal,ville,adresse,email,site_web,siret,telephone
Centre social,Centre Animation Expression et Loisirs  C.A.E.L,92340,Bourg-la-Reine,Centre Animation Expression et Loisirs  C.A.E.L 11 rue des rosiers 92340 Bourg-la-Reine,gabrielle.gladieux@caelmjc.com,http://caelmjc.com,78531146500021,
Centre social,CENTRE SOCIOCULTUREL DE MONTMAGNY,95360,Montmagny,CENTRE SOCIOCULTUREL DE MONTMAGNY 15 ruelle de la campagne 95360 Montmagny,Accueil-exupery@ville-montmagny.fr,http://0134051320,219504271 00012,
Centre social,LOUISE MICHEL (CS),93330,Neuilly-sur-Marne,LOUISE MICHEL (CS) 205 avenue du 8 Mai 1945 93330 Neuilly-sur-Marne,cslm@neuillysurmarne.fr,https://www.neuillysurmarne.fr,26930022400012,0143089696
Centre social,Centre social intercommunal  La Maison Valeuropéenne,77700,Serris,"Centre social intercommunal ""La Maison Valeuropéenne"" 2 avenue Emile Cloud 77700 Serris",lamaison@vdeagglo.fr,https://www.valdeuropeagglo.fr/lamaison,24770033900010,0160438080
Centre social,MAISON DES HABITANTS GEORGES-POMPIDOU,95150,Taverny,"MAISON DES HABITANTS GEORGES-POMPIDOU 16, rue des écoles 95150 Taverny",bouertatani@ville-taverny.fr,,xxxx,
Centre social,CENTRE SOCIAL P'ARC EN CIEL,92000,Nanterre,CENTRE SOCIAL P'ARC EN CIEL 79 avenue Pablo Picasso 92000 Nanterre,centre.social.parc@mairie-nanterre.fr,http://www.nanterre.fr,269 200 465 00012,0147295050
Centre social,CENTRE SOCIOCULTUREL ETINCELLES,75020,Paris 20e Arrondissement,CENTRE SOCIOCULTUREL ETINCELLES 65 rue des Haies 75020 Paris 20e Arrondissement,contact@etincelles20eme.org,http://www.etincelles20eme.org,48463084300015,
Centre social,ESPACE MASSY OPERA,91300,Massy,ESPACE MASSY OPERA 9 Avenue du Noyer Lambert 91300 Massy,l.artero@mairie-massy.fr,,219103777,
Centre social,CENTRE SOCIAL TANGER,75019,Paris 19e Arrondissement,CENTRE SOCIAL TANGER 28 rue de Tanger 75019 Paris 19e Arrondissement,farid.atamna@cafparis.cnafmail.fr,caf.fr,,
Centre social,CENTRE SOCIAL MONTREUIL - PRES AUX BOIS,78000,Versailles,CENTRE SOCIAL MONTREUIL - PRES AUX BOIS 29 rue de l'Ecole des Postes 78000 Versailles,maison-de-quartier-pres-aux-bois@versailles.fr,http://www.versailles.fr,21780646200016,0130978000
Centre social,MAISON DE QUARTIER AXE MAJEUR - HORLOGE,95800,Cergy,"MAISON DE QUARTIER AXE MAJEUR - HORLOGE 12, allée des petits pains 95800 Cergy",jerome.gazon@cergy.fr,http://www.cergy.fr,21950127700897,0134334400
Centre social,CENTRE SOCIAL-FRANCOISE DOLTO,77176,Savigny-le-Temple,CENTRE SOCIAL-FRANCOISE DOLTO chemin du plessis 77176 Savigny-le-Temple,centre.f.dolto@savigny-le-temple.fr,http://doltosavignyletemple.centres-sociaux.fr/,21770445100210,0164105190
Centre social,CENTRE SOCIAL RELAIS 59,75012,Paris 12e Arrondissement,CENTRE SOCIAL RELAIS 59 1 rue Hector Malot 75012 Paris 12e Arrondissement,louise.daif59@gmail.com,http://wwwcsrelais59.org,32079817600022,
Centre social,CENTRE SOCIAL,95280,Jouy-le-Moutier,CENTRE SOCIAL 96 avenue des Bruzacques 95280 Jouy-le-Moutier,krudio@jouylemoutier.fr,http://www.jouylemoutier.fr,21950323200015,0134416500
Centre social,CENTRE SOCIAL GERMAINE TILLION - KREMLIN BICETRE,94270,Le Kremlin-Bicêtre,CENTRE SOCIAL GERMAINE TILLION - KREMLIN BICETRE 25 avenue Charles Gide 94270 Le Kremlin-Bicêtre,lkanchan@ville-kremlin-bicetre.fr,http://www.kremlinbicetre.fr,21940043900010,0145155555
Centre social,MJC les Passerelles -  CENTRE SOCIAL AIME CESAIRE,91170,Viry-Châtillon,MJC les Passerelles -  CENTRE SOCIAL AIME CESAIRE 13 avenue JEAN MERMOZ 91170 Viry-Châtillon,f.adrar@mjclespasserelles.org,,41990306700025,
Centre social,CENTRE SOCIAL ET CULTUREL LES ACACIAS,92000,Nanterre,CENTRE SOCIAL ET CULTUREL LES ACACIAS 1 rue des sorbiers 92000 Nanterre,direction@csclesacacias.org,http://www.csclesacacias.org,32995224600018,
Centre social,CENTRE SOCIAL MONTREUIL - VAUBAN,78000,Versailles,CENTRE SOCIAL MONTREUIL - VAUBAN 76 rue champ Lagarde 78000 Versailles,audrey.kantapareddy@versailles.fr,http://0130978730,21780646200016,
Centre social,M.Q GEORGES BRASSENS  FRANCE SERVICES,93140,Bondy,M.Q GEORGES BRASSENS  FRANCE SERVICES 49/51 AV CARNOT 93140 Bondy,sandrine.lara@bondy.fr,http://www.bondy.fr,21930010000019,0148505300
Centre social,MICHEL CATONNE - BOISSY,94470,Boissy-Saint-Léger,MICHEL CATONNE - BOISSY mairie de boissy-saint-leger/centre social  boulevard Léon Revillon 94470 Boissy-Saint-Léger,sonia.mokadem@ville-boissy.fr,http://www.ville-boissy-saint-leger.fr,21940004100014,0145106161
Centre social,LA FERME DU PARC DES MEUNIERS,94290,Villeneuve-le-Roi,LA FERME DU PARC DES MEUNIERS 60 rue Charles Nungesser 94290 Villeneuve-le-Roi,bureaudelaferme@gmail.com,https://lafermeduparcdesmeuniers.blogspot.com/,411 328 081 000 20,
Centre social,CENTRE SOCIAL MONTAIGU,77000,Melun,CENTRE SOCIAL MONTAIGU 3 rue Colonel Picot 77000 Melun,mmansour@ville-melun.fr,www.ville-melun.fr,21770288500013,0678341075
Centre social,ESPACE DE PROXIMITE ET DE CITOYENNETE HUBERTINE AUCLERT,77500,Chelles,ESPACE DE PROXIMITE ET DE CITOYENNETE HUBERTINE AUCLERT 8  rue turgot 77500 Chelles,n.bouvier@chelles.fr,,21770108500011,
Centre social,Maison des habitants Josephine Baker,95150,Taverny,Maison des habitants Josephine Baker 1 place du pressoir 95150 Taverny,bouertatani@ville-taverny.fr,http://www.ville-taverny.fr,219 506 078 00308,0130405060
Centre social,CENTRE SOCIAL ALBERT SCHWEITZER,78114,Magny-les-Hameaux,CENTRE SOCIAL ALBERT SCHWEITZER Place  du 19 mars 1962 78114 Magny-les-Hameaux,solene.trubert@magny-les-hameaux.fr,http://www.magny-les-hameaux.fr,21780356800187,0139447171
Centre social,CENTRE SOCIAL HISSEZ HAUT,92000,Nanterre,CENTRE SOCIAL HISSEZ HAUT 17 rue Paul Langevin 92000 Nanterre,contact@hissez-haut.org,https://hissezhaut.wixsite.com/,48216814300030,
Centre social,Centre Social et Culturel Europe,92700,Colombes,Centre Social et Culturel Europe 32 avenue de l'Europe 92700 Colombes,eim.accueil@gmail.com,www.csceurope.centres-sociaux.fr,31806895000031,
Centre social,MJC-CENTRE SOCIAL DE RAMBOUILLET- L'Usine à Chapeaux,78120,Rambouillet,MJC-CENTRE SOCIAL DE RAMBOUILLET- L'Usine à Chapeaux 32 rue Gambetta 78120 Rambouillet,s.coufourier@usineachapeaux.fr,http://www.usineachapeaux.com,315 904 219 000 21,0130888900
Centre social,CENTRE SOCIAL LES HAUTES GARENNES,91120,Palaiseau,CENTRE SOCIAL LES HAUTES GARENNES 32 rue Gustave Flaubert 91120 Palaiseau,mdq.centre_social@mairie-palaiseau.fr,http://ville-palaiseau.fr,219 104 775 000 16,0169319300
Centre social,CSC Louise Michel,92600,Asnières-sur-Seine,CSC Louise Michel 19 rue Henri Poincaré 92600 Asnières-sur-Seine,infos.csc.louisemichel@gmail.com,https://csclouisemichel.goasso.org/,78528365600029,0147985927
Centre social,MAISON DU TEMPS LIBRE - Olivier Abderide (MPT),93240,Stains,MAISON DU TEMPS LIBRE - Olivier Abderide (MPT) 30-34 AVENUE GEORGE SAND 93240 Stains,faiza.rilcy@stains.fr,http://www.ville-stains.fr/site/index.php,21930072000014,
Centre social,CENTRE SOCIAL -TRAIT D'UNION,77380,Combs-la-Ville,"CENTRE SOCIAL -TRAIT D'UNION 7, rue Pablo Picasso 77380 Combs-la-Ville",hugo.pyanee@mairie-combs-la-ville.fr,http://www.mairie-combs-la-ville.fr,21770122600011,
Centre social,CENTRE SOCIAL SABLONS,95200,Sarcelles,CENTRE SOCIAL SABLONS rue de Pontoise 95200 Sarcelles,mq.sablons@sarcelles.fr,,2190505856000019,
Centre social,Maison pour tous YOURI GAGARINE,94500,Champigny-sur-Marne,Maison pour tous YOURI GAGARINE 6 avenue du 11 novembre 1918 94500 Champigny-sur-Marne,mpt.ygagarine@mairie-champigny94.fr,http://www.champigny94.fr,219 400 173 00015,
Centre social,CSC LA CROIX DES OUCHES OMC MAISONS-ALFORT (MPT Pompidou),94700,Maisons-Alfort,CSC LA CROIX DES OUCHES OMC MAISONS-ALFORT (MPT Pompidou) 33 avenue de la République 94700 Maisons-Alfort,omc.csccroixdesouches@gmail.com,https://omc-maisons-alfort.fr/,31459209800029,0141941250
Centre social,Centre Socioculturel Agora,95340,Persan,Centre Socioculturel Agora 29 rue Ambroise Croizat 95340 Persan,agora-direction@ville-persan.fr,http://www.persan.fr,219504877500010,
Centre social,CS JEAN CARMET,91150,Étampes,CS JEAN CARMET avenue des noyers patins 91150 Étampes,marie.passelergue@mairie-etampes.fr,,21910223300018,
Centre social,Maison pour Tous Jean FERRAT - Centre social,94000,Créteil,"Maison pour Tous Jean FERRAT - Centre social 21, rue Charles BEUVIN 94000 Créteil 94000 Créteil",mptbleuets@orange.fr,http://www.mptbb.fr,31189067700025,
Centre social,CENTRE SOCIAL J2P,75019,Paris 19e Arrondissement,CENTRE SOCIAL J2P 32 rue Petit 75019 Paris 19e Arrondissement,j2p.direction@gmail.com,http://associationj2p.org,41225455900013,
Centre social,CENTRE SOCIAL BERNARD DE JUSSIEU,78000,Versailles,CENTRE SOCIAL BERNARD DE JUSSIEU 6 rue Bernard de Jussieu 78000 Versailles,maison-de-quartier.bernard-de-jussieu@versailles.fr,http://versailles.fr,21780646200016,0130978000
Centre social,AGAESCC   -   MAISON COUSTE  -,94230,Cachan,AGAESCC   -   MAISON COUSTE  - 19 rue cousté 94230 Cachan,direction.maisoncouste@agaescc.fr,http://www.agaescc.fr,48875532300018,
Centre social,A.V.A.R.A.  FRESNES,94260,Fresnes,A.V.A.R.A.  FRESNES 2 allée du Colonel Riviere 94260 Fresnes,csc.avara@wanadoo.fr,http://csc-avara.com/,31976300900010,0143509309
Centre social,CENTRE SOCIAL ASSOCIATIF LES DOUCETTES,95140,Garges-lès-Gonesse,CENTRE SOCIAL ASSOCIATIF LES DOUCETTES 33 rue du Tiers Pot 95140 Garges-lès-Gonesse,csdoucettes.direction@orange.fr,,38816108500039,
Centre social,LA LUTECE .VALENTON,94460,Valenton,LA LUTECE .VALENTON 1 rue Charles Gounod 94460 Valenton,accueil@csclutece.fr,,38933164600015,
Centre social,Les ECONDEAUX - ESPACE JOSEPHINE BAKER (CS),93800,Épinay-sur-Seine,Les ECONDEAUX - ESPACE JOSEPHINE BAKER (CS) 4 avenue Léon Blum 93800 Épinay-sur-Seine,espace.jbaker@epinay-sur-seine.fr,,21930031600011,
Centre social,MAISON DE QUARTIER DES LINANDES (EX COTEAUX),95000,Cergy,MAISON DE QUARTIER DES LINANDES (EX COTEAUX) place des linandes beiges 95000 Cergy,boushira.ropers@cergy.fr,http://www.cergy.fr,21950127700897,0134334400
Centre social,ESPACE GROS SAULE - ACSA (CS),93600,Aulnay-sous-Bois,ESPACE GROS SAULE - ACSA (CS) 4 rue du Docteur Claude Bernard 93600 Aulnay-sous-Bois,n.morais@asso-acsa.fr,,347684417000020,
Centre social,ESPACE ARC-EN-CIEL - MOISSY CRAMAYEL,77550,Moissy-Cramayel,ESPACE ARC-EN-CIEL - MOISSY CRAMAYEL 427 rue des pièces de Lugny 77550 Moissy-Cramayel,a.riviere@ville-moissycramayel.fr,,21770296800017,
Centre social,LA BOUSSOLE - centre social/médiathèque,77000,Melun,"LA BOUSSOLE - centre social/médiathèque 2, rue Claude Bernard 77000 Melun",laboussole@ville-melun.fr,0164097292,,
Centre social,CENTRE SOCIAL ET CULTUREL DES FOSSES JEAN,92700,Colombes,CENTRE SOCIAL ET CULTUREL DES FOSSES JEAN 1 rue Jules Michelet 92700 Colombes,infos@csc-fossesjean.com,http://www.csc-fossesjean.com,30355774800025,
Centre social,ESPACE DE PROXIMITE ET DE CITOYENNETE JEAN MOULIN,77500,Chelles,ESPACE DE PROXIMITE ET DE CITOYENNETE JEAN MOULIN 3 rue Saint Exupéry 77500 Chelles,espace.jean-moulin@chelles.fr,http://www.chelles.fr,217 701 285,0164728484
Centre social,MAISON POUR TOUS  VICTOR JARA,77420,Champs-sur-Marne,MAISON POUR TOUS  VICTOR JARA 2 avenue des pyramides 77420 Champs-sur-Marne,direction.mptvictorjara@gmail.com,http://maisonpourtousvictorjara.com,31755360000014,0160054557
Centre social,SFM MONTREUIL (CS),93100,Montreuil,SFM MONTREUIL (CS) 1 avenue du Président Salvador Allende 93100 Montreuil,sfm.montreuil93@orange.fr,http://Pas de site web,40005279100037,
Centre social,MARCEL CACHIN (CS/Espace),93230,Romainville,MARCEL CACHIN (CS/Espace) 30 rue de la Résistance 93230 Romainville,resp.epcachin@ville-romainvillefr,,219 300 639 00016,
Centre social,CENTRE SOCIAL MAISON POUR TOUS DE COURDIMANCHE,91940,Les Ulis,CENTRE SOCIAL MAISON POUR TOUS DE COURDIMANCHE 24 résidence Courdimanche 91940 Les Ulis,mpt_de_courdimanche@lesulis.fr,http://lesulis.fr,21910692900017,0169293400
Centre social,Centre socio-culturel Kennedy 94000 Créteil,94000,Créteil,Centre socio-culturel Kennedy 94000 Créteil 36 boulevard Kennedy 94000 Créteil,centre.social.Kennedy@wanadoo.fr,,78569913300019,
Centre social,Centre social  La Passerelle,77170,Brie-Comte-Robert,"Centre social ""La Passerelle"" Allée Claude Tournier 77170 Brie-Comte-Robert",lapasserelle@briecomterobert.fr,https://www.briecomterobert.fr/services-au-quotidien/sante-et-solidarite/centre-social-la-passerelle/,26770156300012,0160626400
Centre social,MAISON DE QUARTIER DU VAL SUD/ESPACE FAMILLES,95100,Argenteuil,MAISON DE QUARTIER DU VAL SUD/ESPACE FAMILLES 13 boulevard du Général Leclerc 95100 Argenteuil,val.argent.sud@ville-argenteuil.fr,,21950018800012,
Centre social,ESPACE LANGEVIN,94600,Choisy-le-Roi,ESPACE LANGEVIN 31-33 rue Albert 1er 94600 Choisy-le-Roi,helena.delocty@choisyleroi.fr,http://www.choisyleroi.fr,2194002230018,0133732409
Centre social,CENTRE SOCIAL AIRES 10,75010,Paris 10e Arrondissement,CENTRE SOCIAL AIRES 10 2 rue du Buisson Saint Louis 75010 Paris 10e Arrondissement,contact@aires10.net,http://www.aires10.net,34058420000026,0142028250
Centre social,CENTRE SOCIAL MUNICIPAL LES MARGOTINS,77330,Ozoir-la-Ferrière,CENTRE SOCIAL MUNICIPAL LES MARGOTINS 4 rue du Bois Prieur 77330 Ozoir-la-Ferrière,rvalet@mairie-ozoir-la-ferriere.fr,http://XXXX,217 703 503 00193,
Centre social,CSC MAISON POUR TOUS,92000,Nanterre,CSC MAISON POUR TOUS 33 rue Paul Vaillant Couturier 92000 Nanterre,direction.cscmpt@gmail.com,http://www.mptnanterre.fr,49927023900027,0141376480
Centre social,CENTRE SOCIAL  MILLANDY MEUDON,92360,Meudon,CENTRE SOCIAL  MILLANDY MEUDON 5 rue Georges Millandy 92360 Meudon,Accueil.CSM@mairie-meudon.fr,http://www.meudon.fr,21920048200012,0141148000
Centre social,APJC - Association Pavillonnaise pour la Jeunesse et la Culture (CS),93320,Les Pavillons-sous-Bois,APJC - Association Pavillonnaise pour la Jeunesse et la Culture (CS) 23 allée Etienne Dolet 93320 Les Pavillons-sous-Bois,infos@apjc.org,http://www.apjc.org,78559318700020,0148020779
Centre social,ESPACE ANDRE JOLY - CENTRE DE VIE SOCIALE,78170,La Celle-Saint-Cloud,ESPACE ANDRE JOLY - CENTRE DE VIE SOCIALE 8 E avenue Charles de Gaulle 78170 La Celle-Saint-Cloud,espace.andrejoly@ville-lacellesaintcloud.fr,,26780048000019,
Centre social,CENTRE SOCIOCULTUREL YANNICK NOAH,92600,Asnières-sur-Seine,CENTRE SOCIOCULTUREL YANNICK NOAH 46 avenue des grésillons 92600 Asnières-sur-Seine,noah@csc-ynoah.com,http://www.csc-ynoah.com,42055807400027,0141110222
Centre social,ESPACE SOCIOCULTUREL Marcel Dalens,77500,Chelles,ESPACE SOCIOCULTUREL Marcel Dalens 35 AVENUE DELAMBRE 77500 Chelles,j.lacoux@chelles.fr,http://chelles.fr,21770108500011,0164728484
Centre social,CENTRE SOCIAL CERISE,75002,Paris 2e Arrondissement,CENTRE SOCIAL CERISE 46 RUE MONTORGUEIL 75002 Paris 2e Arrondissement,delphine.roux-braz@centrecerise.com,http://www.centrecerise.com,791 201 221 00011,0142213991
Centre social,CENTRE SOCIAL ET CULTUREL FONTAINE GUEFFIER,92220,Bagneux,CENTRE SOCIAL ET CULTUREL FONTAINE GUEFFIER 1 place de la fontaine gueffier 92220 Bagneux,csc-gueffier@mairie-bagneux.fr,http://bagneux92.fr,21920007800216,0142316000
Centre social,CENTRE SOCIAL LE PARI'S DES FAUBOURGS,75010,Paris 10e Arrondissement,"CENTRE SOCIAL LE PARI'S DES FAUBOURGS 12, rue leon schwartzenberg 75010 Paris 10e Arrondissement",y.quiban@lepfb.net,http://www.lepfb.net,44062157100023,
Centre social,ADGVE / LA FORGE,91410,La Forêt-le-Roi,"ADGVE / LA FORGE 52, rue du pont de l'aridaine 91410 La Forêt-le-Roi",sophie.dhaese@adgve.com,http://www.adgve.com,30587230100042,
Centre social,Centre social Adept93,93700,Drancy,Centre social Adept93 37 rue Voltaire 93700 Drancy,secretariat@adept-asso.fr,https://adept93.wixsite.com/adept-asso,38216536300039,
Centre social,ESPACE LA GOELETTE,77165,Saint-Soupplets,ESPACE LA GOELETTE place de l' Eglise 77165 Saint-Soupplets,espacelagoelette@saint-soupplets.fr,https://www.saint-soupplets.fr/,21770437800017,0160015049
Centre social,CENTRE SOCIAL CHEVALERET,75013,Paris 13e Arrondissement,CENTRE SOCIAL CHEVALERET 9 bis rue du chevaleret 75013 Paris 13e Arrondissement,manon.chabry-boffi@caf75.caf.fr,,38099225500048,
Centre social,MAISON DE QUARTIER GASTON VARIOT,77176,Savigny-le-Temple,MAISON DE QUARTIER GASTON VARIOT avenue des regalles 77176 Savigny-le-Temple,maison.g.variot@savigny-le-temple.fr,http://savignyletemple.centres-sociaux.fr/,21770445100210,
